model_key,model_group,provider,model_id,variant,batch,seed,k,n_reference,n_query,n_parsed,n_correct,accuracy,invalid_rate,normalization_mode,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,cache_hit_rate,cost_status,estimated_cost_cny,uncached_upper_bound_cny,status,parse_ok,parse_method,source_file,copied_from,copied_from_sha256,request_extra,copied_from,copied_from_sha256,request_extra,record_level,cotton_n,cotton_correct,cotton_accuracy,dacron_n,dacron_correct,dacron_accuracy,dacron-cotton_n,dacron-cotton_correct,dacron-cotton_accuracy,spandex_n,spandex_correct,spandex_accuracy,silk_n,silk_correct,silk_accuracy,cotton_hemp30_n,cotton_hemp30_correct,cotton_hemp30_accuracy,flax_cotton25_n,flax_cotton25_correct,flax_cotton25_accuracy,poly_pa15_n,poly_pa15_correct,poly_pa15_accuracy
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T1,100013,0,0,240,240,0,0.0,0.0,none_raw_fft16,0,54173,2966,57139,0,54173,0.0,estimated,0.00990555,0.00990555,done,True,indexed_json,results/deepseek_flash/A2_fft16_T1_s100013_k0.json,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k0.json,762c5f496efcb152a5e2c1eee7d7c4a0249dd64045fc276fd4453d2088682dec,,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k0.json,762c5f496efcb152a5e2c1eee7d7c4a0249dd64045fc276fd4453d2088682dec,,model-batch-seed-k,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T1,100013,1,8,232,232,232,1.0,0.0,reference_zscore,0,45679,2786,48465,0,45679,0.0,estimated,0.00852345,0.00852345,done,True,indexed_json,results/deepseek_flash/A2_fft16_T1_s100013_k1.json,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k1.json,65173affbd2ad36dcb0364d76ca3dde851d8b318bcd2f625f5ae4b7a7c3e3a01,,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k1.json,65173affbd2ad36dcb0364d76ca3dde851d8b318bcd2f625f5ae4b7a7c3e3a01,,model-batch-seed-k,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T1,100013,3,24,216,216,216,1.0,0.0,reference_zscore,0,45620,2594,48214,0,45620,0.0,estimated,0.0083994,0.0083994,done,True,indexed_json,results/deepseek_flash/A2_fft16_T1_s100013_k3.json,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k3.json,c4d0bdce420d663f6563dfb4dbaef520b0f0d1ac56f894c54fc1af93c53b7dc0,,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k3.json,c4d0bdce420d663f6563dfb4dbaef520b0f0d1ac56f894c54fc1af93c53b7dc0,,model-batch-seed-k,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T1,100013,5,40,200,200,200,1.0,0.0,reference_zscore,0,45673,2402,48075,0,45673,0.0,estimated,0.00829215,0.00829215,done,True,,results/deepseek_flash/A2_fft16_T1_s100013_k5.json,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k5.json,04d30fda1e43a9eb4cd14a7f6c1f51ba68e1e9c26e8d1268190a1f0c67761b35,,k_sweep/results/deepseek_flash/A2_fft16_T1_s100013_k5.json,04d30fda1e43a9eb4cd14a7f6c1f51ba68e1e9c26e8d1268190a1f0c67761b35,,model-batch-seed-k,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T2,100013,0,0,240,240,0,0.0,0.0,none_raw_fft16,0,53918,2852,56770,0,53918,0.0,estimated,0.0097989,0.0097989,done,True,indexed_json,results/deepseek_flash/A2_fft16_T2_s100013_k0.json,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k0.json,6a6f7b401205129dc78ff251841136fec8054231ebbafd14d3b6bb1983c06a7b,,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k0.json,6a6f7b401205129dc78ff251841136fec8054231ebbafd14d3b6bb1983c06a7b,,model-batch-seed-k,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T2,100013,1,8,232,232,232,1.0,0.0,reference_zscore,0,45659,2786,48445,0,45659,0.0,estimated,0.00852045,0.00852045,done,True,indexed_json,results/deepseek_flash/A2_fft16_T2_s100013_k1.json,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k1.json,7d9c2086a9c759de7bcab10e38ad34280a6bcd5575347651ae48aeb8c1ba2dd3,,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k1.json,7d9c2086a9c759de7bcab10e38ad34280a6bcd5575347651ae48aeb8c1ba2dd3,,model-batch-seed-k,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T2,100013,3,24,216,216,216,1.0,0.0,reference_zscore,0,45738,2594,48332,0,45738,0.0,estimated,0.0084171,0.0084171,done,True,indexed_json,results/deepseek_flash/A2_fft16_T2_s100013_k3.json,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k3.json,3b53e3504bd483e2c37d793c11eb713332f2a8dd37200a16be29ffbab992d13e,,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k3.json,3b53e3504bd483e2c37d793c11eb713332f2a8dd37200a16be29ffbab992d13e,,model-batch-seed-k,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0,27,27,1.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T2,100013,5,40,200,200,200,1.0,0.0,reference_zscore,0,45682,2402,48084,0,45682,0.0,estimated,0.0082935,0.0082935,done,True,,results/deepseek_flash/A2_fft16_T2_s100013_k5.json,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k5.json,57ab7b787e3d3e6af121e48d3ef6633527b067ad061e625f0de9dc05faca17c9,,k_sweep/results/deepseek_flash/A2_fft16_T2_s100013_k5.json,57ab7b787e3d3e6af121e48d3ef6633527b067ad061e625f0de9dc05faca17c9,,model-batch-seed-k,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0,25,25,1.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T3,100013,0,0,240,240,90,0.375,0.0,none_raw_fft16,0,53561,2882,56443,0,53561,0.0,estimated,0.00976335,0.00976335,done,True,indexed_json,results/deepseek_flash/A2_fft16_T3_s100013_k0.json,k_sweep/results/deepseek_flash/A2_fft16_T3_s100013_k0.json,6ae7b38e786f56290201ec5b9a2c87aada3d7bc060f355803901e22772c10162,,k_sweep/results/deepseek_flash/A2_fft16_T3_s100013_k0.json,6ae7b38e786f56290201ec5b9a2c87aada3d7bc060f355803901e22772c10162,,model-batch-seed-k,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,30,1.0,30,30,1.0,30,30,1.0
deepseek_flash,DeepSeek Flash (official latest),deepseek,deepseek-flash,A2_fft16,T3,100013,1,8,232,232,232,1.0,0.0,reference_zscore,0,45787,2786,48573,0,45787,0.0,estimated,0.00853965,0.00853965,done,True,indexed_json,results/deepseek_flash/A2_fft16_T3_s100013_k1.json,k_sweep/results/deepseek_flash/A2_fft16_T3_s100013_k1.json,789e47286019471bc2cb048926e1535dc39030d73b26adc49c234b49db83ee57,,k_sweep/results/deepseek_flash/A2_fft16_T3_s100013_k1.json,789e47286019471bc2cb048926e1535dc39030d73b26adc49c234b49db83ee57,,model-batch-seed-k,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0,29,29,1.0
